sample_id,tube_id,volume_in_microliters
68499,269312,1000
68499,269264,400
68499,269309,1000
68499,269259,60
68499,269260,400
68499,269261,400
68499,269349,60
68499,269219,1000
68499,269360,800
68499,269356,400
68499,269222,1000
68499,269270,750
68499,269354,850
68682,269427,400
68682,269456,60
68682,269461,1000
68682,269449,1000
68682,269460,1000
68682,269451,400
68682,269437,1000
68682,269434,400
68682,269463,700
68682,269446,1000
68682,269425,1000
68682,269428,400
68682,269426,60
68682,269457,400
68682,269452,400
68682,269435,1000
68689,271137,60
68689,271222,400
68689,271221,60
68689,271091,1000
68689,271196,1000
68689,271094,1000
68690,271100,1000
68690,271238,200
68690,271240,400
68690,271202,1000
68690,271234,400
68690,271097,1000
68690,271149,60
68690,271239,60
68690,271151,400
68690,271145,400
68690,271235,400
68690,271144,400
68691,271250,100
68691,271106,1000
68691,271103,1000
68691,271208,1000
68691,271155,60
68691,271245,60
68691,271252,400
68691,271247,400
68691,271246,400
68692,271109,1000
68692,271170,1000
68692,271257,60
68692,271169,400
68692,271211,1000
68692,271214,1000
68692,271178,400
68692,271177,1000
68692,271175,400
68692,271173,60
68692,271268,600
68692,271176,1000
68692,271112,1000
68692,271265,400
68692,271264,400
68692,271171,1000
68692,271258,400
68693,271270,400
68693,271115,1000
68693,271269,60
68693,271220,1000
68693,271184,600
68693,271280,750
68693,271185,60
68693,271190,700
68693,271118,1000
68693,271278,1000
68693,271277,400
68693,271187,400
68696,271349,1000
68696,271421,1000
68696,271374,60
68696,271346,1000
68696,271418,1000
68696,271375,400
68696,271446,60
68697,271352,1000
68697,271385,700
68697,271427,1000
68697,271380,60
68697,271458,60
68697,271382,400
68697,271391,650
68697,271454,400
68697,271463,300
68697,271355,1000
68697,271453,400
68697,271459,400
68698,271464,60
68698,271430,1000
68698,271401,1000
68698,271395,1000
68698,271402,1000
68698,271398,60
68698,271361,1000
68698,271396,1000
68698,271433,1000
68698,271358,1000
68698,271394,400
68698,271403,700
68698,271397,800
68699,271482,60
68699,271410,60
68699,271439,1000
68699,271487,950
68699,271478,400
68699,271436,1000
68699,271367,1000
68699,271484,400
68699,271415,900
68699,271481,700
68699,271364,1000
68699,271409,700
68699,271411,400
68700,272494,1000
68700,272342,1000
68700,272567,60
68700,272340,400
68700,272335,400
68700,272569,400
68700,273011,1000
68700,272491,1000
68700,272568,400
68700,272576,1000
68700,272257,1000
68700,272260,1000
68700,272341,400
68700,272575,400
68700,272333,60
68700,272577,1000
68700,273012,1000
68700,272338,1000
68701,272497,1000
68701,272345,60
68701,272352,400
68701,272581,400
68701,272356,750
68701,272266,1000
68701,272579,60
68701,272346,400
68701,272347,400
68701,272500,1000
68701,272263,1000
68701,272580,400
68701,272586,400
68702,272269,1000
68702,272600,1000
68702,273017,900
68702,272593,400
68702,272596,1000
68702,272368,1000
68702,272503,1000
68702,272597,60
68702,272506,1000
68702,273025,800
68702,273026,750
68702,272272,1000
68702,272592,400
68702,273014,1000
68702,272363,60
68702,272594,1000
68702,272602,1000
68702,272601,1000
68702,273016,1000
68702,272364,400
68702,272358,400
68702,272359,400
68702,272360,1000
68702,272595,1000
68703,272370,400
68703,272375,60
68703,272606,1000
68703,273019,600
68703,272509,1000
68703,272380,1000
68703,272278,1000
68703,272275,1000
68703,272607,1000
68703,272614,900
68703,272605,400
68703,272371,400
68703,272610,400
68703,272378,1000
68703,272608,1000
68703,272613,1000
68703,272611,400
68703,272512,1000
68703,272609,60
68703,273018,750
68703,272612,1000
68704,272515,1000
68704,272617,400
68704,272284,1000
68704,272281,1000
68704,272615,60
68704,272518,1000
68704,272389,400
68704,272624,1000
68704,272382,400
68704,272622,400
68704,272381,60
68704,272618,1000
68704,272388,400
68704,272625,750
68704,272619,700
68706,272646,400
68706,272527,1000
68706,272649,1000
68706,273020,1000
68706,272647,400
68706,272415,1000
68706,273028,750
68706,272643,1000
68706,272650,1000
68706,272644,700
68706,272648,1000
68706,272530,1000
68706,272407,400
